"","","","","base population","","","","","","","","","","","undercounts","","","","","","","","","","","","undercount %","","","","","","","","","",""
"NAME","REGION","DIVISION","STATE","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total","","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total"
"Maryland","3.0","5.0","24.0","3096669.0","1962513.0","46855.0","464686.0","669273.0","378903.0","977011.0","947857.0","1601552.0","2216249.0","6121572.0","-25306.0","42684.0","183.0","510.0","13822.0","19244.0","-2039.0","7953.0","31928.0","-27635.0","29451.0","Maryland","-0.00817200675952128","0.02174966484298448","0.00390566641767154","0.0010975153114145897","0.020652259989570772","0.05078872429091351","-0.002086977526353337","0.008390506162849459","0.01993566240746476","-0.012469266765602602","0.004811019130380236"
"Massachusetts","1.0","1.0","25.0","4991959.0","696290.0","42321.0","538782.0","885494.0","369568.0","994285.0","1205351.0","1780790.0","2619240.0","6969234.0","-37251.0","17669.0","238.0","2973.0","19218.0","17300.0","-6476.0","5209.0","27353.0","-44751.0","-1365.0","Massachusetts","-0.007462200711183726","0.025375920952476698","0.0056236856406984715","0.005518001714979342","0.021703139716361713","0.046811412243484285","-0.006513223069844159","0.004321562764705053","0.01536003683758332","-0.017085490447610756","-0.00019586083635590368"
"Michigan","2.0","3.0","26.0","7630968.0","1487216.0","95495.0","378027.0","534020.0","591916.0","1574034.0","1640896.0","2407300.0","3844106.0","10058252.0","-70664.0","33744.0","148.0","1210.0","9025.0","25970.0","-14861.0","3803.0","29564.0","-72198.0","-27722.0","Michigan","-0.009260162013521745","0.022689373971232156","0.0015498193622702759","0.0032008295703746027","0.01690011610052058","0.043874468674609236","-0.009441346247920947","0.0023176362182612425","0.01228097868981847","-0.018781480011217173","-0.002756144904701135"
"Minnesota","2.0","4.0","27.0","4581501.0","446728.0","88142.0","332527.0","327000.0","369718.0","958737.0","893674.0","1456032.0","2055650.0","5733811.0","-41231.0","11882.0","472.0","1533.0","6267.0","15231.0","-10551.0","1204.0","15234.0","-42916.0","-21798.0","Minnesota","-0.008999452362882819","0.026597840296556294","0.005354995348415058","0.004610151957585399","0.0191651376146789","0.0411962630978205","-0.011005103589409817","0.0013472474302709937","0.01046268213885409","-0.0208770948361832","-0.0038016600128605565"
"Mississippi","3.0","6.0","28.0","1698476.0","1139714.0","21454.0","40553.0","99299.0","191066.0","510201.0","488878.0","731085.0","1061218.0","2982448.0","-14050.0","25312.0","84.0","158.0","1910.0","9927.0","-853.0","4132.0","14024.0","-14140.0","13090.0","Mississippi","-0.00827212159606612","0.022209080523710335","0.003915353780180852","0.0038961359208936454","0.01923483620177444","0.05195586865271686","-0.0016718900982161933","0.008452006431052327","0.019182448005361893","-0.01332431225252493","0.004389011979420932"
"Missouri","2.0","4.0","29.0","4962540.0","772086.0","48076.0","161545.0","279010.0","384699.0","1002443.0","990908.0","1526530.0","2286573.0","6191153.0","-36554.0","18644.0","169.0","869.0","5348.0","16760.0","-9082.0","2811.0","19197.0","-41802.0","-12116.0","Missouri","-0.007365985966863743","0.024147569053188375","0.0035152674931358684","0.00537930607570646","0.019167771764452887","0.04356652863667439","-0.009059866745540645","0.002836792113899575","0.012575579909991943","-0.018281506866389133","-0.0019569860412107405"
"Montana","4.0","8.0","30.0","950590.0","10157.0","76108.0","13506.0","43733.0","65975.0","168907.0","170844.0","259552.0","421070.0","1086348.0","-7157.0","271.0","380.0","60.0","830.0","2664.0","-2133.0","-3.0","2473.0","-8719.0","-5718.0","Montana","-0.007529008300108353","0.026681106625972235","0.0049929048194670735","0.00444247001332741","0.0189788031920975","0.04037893141341417","-0.012628251049394044","-1.7559879188031187e-05","0.009527955862409074","-0.020706770845702615","-0.005263506721603022"
"Nebraska","2.0","4.0","31.0","1547452.0","112551.0","31982.0","62677.0","228059.0","136313.0","346600.0","324912.0","481520.0","669991.0","1959336.0","-10566.0","3026.0","210.0","484.0","4648.0","5978.0","-3064.0","1207.0","6083.0","-12798.0","-2594.0","Nebraska","-0.006827998542119562","0.02688558964380592","0.006566193483834657","0.007722130925219777","0.020380690961549423","0.04385495147197993","-0.008840161569532603","0.003714852021470429","0.012632912443927563","-0.019101749127973362","-0.001323917898716708"
"Nevada","4.0","8.0","32.0","1542097.0","359154.0","59626.0","350668.0","932910.0","193733.0","513839.0","487712.0","855675.0","1103299.0","3154258.0","-6807.0","10076.0","448.0","1852.0","20598.0","10436.0","1181.0","6322.0","18989.0","-12645.0","24283.0","Nevada","-0.004414119215587606","0.028054817710508585","0.0075135008217891526","0.0052813487401188585","0.0220793002540438","0.05386795228484564","0.00229838529189104","0.012962568072961091","0.022191836853945716","-0.011461081719461362","0.007698482495724826"
"New Hampshire","1.0","1.0","33.0","1240460.0","29026.0","6184.0","43708.0","56047.0","66853.0","189727.0","212242.0","326726.0","571882.0","1367430.0","-11090.0","720.0","9.0","151.0","981.0","2624.0","-2551.0","-432.0","3070.0","-12088.0","-9377.0","New Hampshire","-0.008940231849475195","0.024805346930338316","0.0014553686934023287","0.0034547451267502517","0.017503166984852","0.039250295424289115","-0.013445635044036959","-0.0020354124065924744","0.009396252517399901","-0.021137227609891552","-0.0068573894093299104"
