"","","","","base population","","","","","","","","","","","undercounts","","","","","","","","","","","","undercount %","","","","","","","","","",""
"NAME","REGION","DIVISION","STATE","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total","","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total"
"Nevada","4.0","8.0","32.0","1542097.0","359154.0","59626.0","350668.0","932910.0","193733.0","513839.0","487712.0","855675.0","1103299.0","3154258.0","-1436.0","12706.0","918.0","3629.0","27410.0","11883.0","3428.0","8040.0","23248.0","-5886.0","40713.0","Nevada","-0.0009311995289531074","0.03537758176158417","0.015395968201791165","0.010348819966464006","0.02938118360827947","0.06133699472986017","0.00667135036460837","0.01648513877042189","0.027169193911239665","-0.005334909213186996","0.012907314493614663"
"New Hampshire","1.0","1.0","33.0","1240460.0","29026.0","6184.0","43708.0","56047.0","66853.0","189727.0","212242.0","326726.0","571882.0","1367430.0","-5588.0","957.0","65.0","380.0","1551.0","3070.0","-1859.0","151.0","4499.0","-8716.0","-2855.0","New Hampshire","-0.004504780484658917","0.03297044029490801","0.010510996119016817","0.008694060583874806","0.027673202847610042","0.04592164899106996","-0.00979828912068393","0.0007114520217487585","0.013769947907420896","-0.015240906340818561","-0.002087858245028996"
"New Jersey","1.0","2.0","34.0","4929728.0","1433004.0","66651.0","997918.0","1943632.0","533003.0","1435350.0","1376171.0","2348014.0","3376293.0","9068831.0","-20680.0","46271.0","986.0","8792.0","54536.0","30928.0","1859.0","15349.0","57828.0","-24954.0","81010.0","New Jersey","-0.004194957612265829","0.03228951210185038","0.014793476466969737","0.008810343134405834","0.028058809486569473","0.05802593981647383","0.0012951544919357649","0.011153410440998974","0.024628473254418415","-0.007390946224157678","0.008932794094409743"
"New Mexico","4.0","8.0","35.0","784486.0","63457.0","236323.0","49203.0","1032907.0","126018.0","349456.0","340312.0","505887.0","770091.0","2091764.0","-3969.0","1973.0","2619.0","387.0","26772.0","7837.0","2126.0","5439.0","14080.0","-3303.0","26179.0","New Mexico","-0.005059363710760932","0.03109192051310336","0.01108228991676646","0.00786537406255716","0.025919080807855887","0.062189528480058404","0.006083741586923676","0.01598239262794142","0.027832302470709863","-0.004289103495560914","0.012515274189631335"
"New York","1.0","2.0","36.0","10969364.0","3690087.0","224611.0","1994445.0","3898833.0","1183659.0","2934515.0","3308869.0","5152211.0","7278606.0","19857860.0","-12288.0","127486.0","3772.0","22683.0","112274.0","70940.0","8905.0","42891.0","135963.0","-32749.0","225950.0","New York","-0.0011202107980006863","0.034548236938587086","0.01679347850283379","0.011373088754014275","0.028796822023410596","0.0599328015923505","0.0030345730043976602","0.012962435200668265","0.02638925307989133","-0.004499350562456602","0.01137836604749958"
"North Carolina","3.0","5.0","37.0","6715370.0","2438985.0","181341.0","386922.0","1055894.0","636726.0","1694457.0","1717685.0","2695123.0","3863475.0","10607466.0","-21739.0","76584.0","2216.0","4099.0","30938.0","36728.0","2197.0","18948.0","61075.0","-31673.0","87275.0","North Carolina","-0.003237200630791751","0.031399947109145815","0.012220071577856083","0.010593866464041849","0.029300289612404277","0.05768258246090155","0.001296580556485057","0.01103112619601382","0.022661303398768814","-0.008198060036625059","0.00822769547411229"
"North Dakota","2.0","4.0","38.0","644856.0","29318.0","43057.0","15998.0","29649.0","55106.0","124522.0","139795.0","183834.0","255085.0","758342.0","-1459.0","1166.0","617.0","208.0","888.0","2650.0","-1043.0","611.0","2795.0","-3706.0","1307.0","North Dakota","-0.0022625206247596365","0.03977078927621257","0.01432984183756416","0.013001625203150393","0.029950419912981887","0.0480891372990237","-0.008376029938484766","0.004370685646840016","0.015203933983920276","-0.014528490503165611","0.0017234967864103532"
"Ohio","2.0","3.0","39.0","9350215.0","1641377.0","50137.0","337815.0","477819.0","721455.0","1884557.0","1871259.0","2881170.0","4425469.0","11783910.0","-27922.0","53644.0","696.0","3694.0","13574.0","37438.0","-7672.0","11848.0","51729.0","-51816.0","41527.0","Ohio","-0.002986241492842678","0.032682314909981074","0.013881963420228573","0.010934979204594231","0.028408246637325014","0.051892356418626245","-0.0040709832602569196","0.006331566073964107","0.017954164454023886","-0.011708589530284813","0.003524042529177497"
"Oklahoma","3.0","7.0","40.0","2709948.0","350319.0","409606.0","113742.0","445578.0","269321.0","692044.0","656668.0","988228.0","1357255.0","3963516.0","-5530.0","11538.0","5100.0","1204.0","12832.0","14502.0","-1164.0","5476.0","19589.0","-14848.0","23555.0","Oklahoma","-0.002040629561895653","0.03293569575158641","0.01245098948745868","0.01058535984948392","0.028798549300010325","0.053846525150285346","-0.0016819739785331569","0.008339069362295712","0.019822348688764133","-0.010939727611981536","0.00594295569892994"
"Oregon","4.0","9.0","41.0","3305784.0","119633.0","95337.0","259000.0","584955.0","245347.0","645129.0","674688.0","1157080.0","1583823.0","4306067.0","-5807.0","4052.0","1402.0","2751.0","16985.0","12865.0","-2100.0","5107.0","21488.0","-19445.0","17915.0","Oregon","-0.001756618097250153","0.03387025319100917","0.01470572810136673","0.010621621621621622","0.029036421605080732","0.05243593767195034","-0.0032551629209041913","0.007569424682223487","0.01857088533204273","-0.012277255728702008","0.004160409022897229"
